value,type,n,R
15.375764656103792,CMC,1.0,11.0
8.37578033161224,CMC,1.0,11.0
17.94383385464824,CMC,1.0,11.0
5.9170923606867,CMC,1.0,11.0
6.606385902114244,CMC,1.0,11.0
7.994328311547329,CMC,1.0,11.0
10.875629964552443,CMC,1.0,11.0
11.175669883960014,CMC,1.0,11.0
16.800382735501916,CMC,1.0,11.0
7.507376294967309,CMC,1.0,11.0
13.559235172617168,CMC,1.0,11.0
20.926825453797143,CMC,1.0,11.0
8.674404222367164,CMC,1.0,11.0
18.2397264074297,CMC,1.0,11.0
7.391503377054111,CMC,1.0,11.0
16.953453444593425,CMC,1.0,11.0
2.0343464160985367,CMC,1.0,11.0
11.619971582785992,CMC,1.0,11.0
13.394858409857973,CMC,1.0,11.0
25.111437383375286,CMC,1.0,11.0
15.111684455940356,CMC,1.0,11.0
11.794791464821277,CMC,1.0,11.0
15.712038169027824,CMC,1.0,11.0
10.42634975663505,CMC,1.0,11.0
6.879393253928163,CMC,1.0,11.0
5.957565478227673,CMC,1.0,11.0
24.95422650356824,CMC,1.0,11.0
13.039846718809873,CMC,1.0,11.0
11.612431458553543,CMC,1.0,11.0
11.356304344727494,CMC,1.0,11.0
12.08709505051695,CMC,1.0,11.0
23.66297193265233,CMC,1.0,11.0
18.0769815540855,CMC,1.0,11.0
21.261675097551283,CMC,1.0,11.0
5.3513784234673825,CMC,1.0,11.0
11.197336227529759,CMC,1.0,11.0
17.682686257419896,CMC,1.0,11.0
17.46494433810959,CMC,1.0,11.0
9.571037235955542,CMC,1.0,11.0
15.711051547668962,CMC,1.0,11.0
7.800980690858487,CMC,1.0,11.0
13.962796533571087,CMC,1.0,11.0
8.626793117409095,CMC,1.0,11.0
17.800640615329115,CMC,1.0,11.0
6.310774140647978,CMC,1.0,11.0
7.9317979742741445,CMC,1.0,11.0
9.006855589040022,CMC,1.0,11.0
6.92066022636084,CMC,1.0,11.0
4.19863096372341,CMC,1.0,11.0
15.756710314259486,CMC,1.0,11.0
10.690513026311317,CMC,1.0,11.0
15.960268011037613,CMC,1.0,11.0
10.000348815478553,CMC,1.0,11.0
7.3228097696717604,CMC,1.0,11.0
11.038570696100596,CMC,1.0,11.0
10.20558785135947,CMC,1.0,11.0
5.532505147427321,CMC,1.0,11.0
12.49106480288482,CMC,1.0,11.0
11.327912992633578,CMC,1.0,11.0
7.238654113590569,CMC,1.0,11.0
8.343772461714995,CMC,1.0,11.0
11.011453872628975,CMC,1.0,11.0
9.588884466402241,CMC,1.0,11.0
12.072528529723478,CMC,1.0,11.0
6.027288894387567,CMC,1.0,11.0
9.750964079993624,CMC,1.0,11.0
13.819576496594449,CMC,1.0,11.0
3.326107922969368,CMC,1.0,11.0
8.945806986744742,CMC,1.0,11.0
12.846601207866724,CMC,1.0,11.0
13.328901884074474,CMC,1.0,11.0
10.26613309085483,CMC,1.0,11.0
9.960635403683966,CMC,1.0,11.0
3.1797131319340295,CMC,1.0,11.0
12.749104767469401,CMC,1.0,11.0
10.084911374709446,CMC,1.0,11.0
4.218058835199097,CMC,1.0,11.0
14.667270983779149,CMC,1.0,11.0
14.453569654497267,CMC,1.0,11.0
8.333716752028312,CMC,1.0,11.0
11.408113045647678,CMC,1.0,11.0
27.354299597877056,CMC,1.0,11.0
10.766784176663462,CMC,1.0,11.0
15.148820842454597,CMC,1.0,11.0
5.853080396433723,CMC,1.0,11.0
17.271235108099376,CMC,1.0,11.0
8.916737081659917,CMC,1.0,11.0
19.04578856398799,CMC,1.0,11.0
13.810990043477757,CMC,1.0,11.0
17.394735603683795,CMC,1.0,11.0
22.96951777243889,CMC,1.0,11.0
11.866775344251561,CMC,1.0,11.0
10.505573134553588,CMC,1.0,11.0
15.076255210053516,CMC,1.0,11.0
5.841678629521041,CMC,1.0,11.0
7.087088770019912,CMC,1.0,11.0
8.9897660995786,CMC,1.0,11.0
6.211080031175157,CMC,1.0,11.0
8.65097867450556,CMC,1.0,11.0
29.13712664697835,CMC,1.0,11.0
14.169927604484654,Strat_prop,1.0,11.0
12.089759776806224,Strat_prop,1.0,11.0
7.341802628482197,Strat_prop,1.0,11.0
8.043139941288796,Strat_prop,1.0,11.0
8.681853080994987,Strat_prop,1.0,11.0
7.089395815136852,Strat_prop,1.0,11.0
10.029621826451853,Strat_prop,1.0,11.0
14.974267310589553,Strat_prop,1.0,11.0
6.891069099311989,Strat_prop,1.0,11.0
13.932074731082539,Strat_prop,1.0,11.0
12.826545668759687,Strat_prop,1.0,11.0
10.783291797098979,Strat_prop,1.0,11.0
19.743069549069304,Strat_prop,1.0,11.0
15.463524345384773,Strat_prop,1.0,11.0
10.761006353840816,Strat_prop,1.0,11.0
13.538739878515116,Strat_prop,1.0,11.0
15.753514191792807,Strat_prop,1.0,11.0
6.9692723549599105,Strat_prop,1.0,11.0
9.926052305140733,Strat_prop,1.0,11.0
17.322068571713398,Strat_prop,1.0,11.0
14.122131232686838,Strat_prop,1.0,11.0
9.357362121031464,Strat_prop,1.0,11.0
6.349565164305025,Strat_prop,1.0,11.0
9.042248255399047,Strat_prop,1.0,11.0
11.923049550209324,Strat_prop,1.0,11.0
15.353904038306744,Strat_prop,1.0,11.0
16.110880212496426,Strat_prop,1.0,11.0
11.854813967757213,Strat_prop,1.0,11.0
10.494738652678208,Strat_prop,1.0,11.0
10.903355139342201,Strat_prop,1.0,11.0
15.238994283968935,Strat_prop,1.0,11.0
15.738559112103399,Strat_prop,1.0,11.0
16.171969570502007,Strat_prop,1.0,11.0
10.88656993770296,Strat_prop,1.0,11.0
11.417336732804149,Strat_prop,1.0,11.0
14.169265723025699,Strat_prop,1.0,11.0
14.766543597812237,Strat_prop,1.0,11.0
9.411299479960073,Strat_prop,1.0,11.0
9.972849426796975,Strat_prop,1.0,11.0
15.363103916140911,Strat_prop,1.0,11.0
14.201116627019916,Strat_prop,1.0,11.0
14.851511432813536,Strat_prop,1.0,11.0
10.906629289517978,Strat_prop,1.0,11.0
21.574414327606647,Strat_prop,1.0,11.0
12.89359949270473,Strat_prop,1.0,11.0
14.38451149754397,Strat_prop,1.0,11.0
11.442669162173802,Strat_prop,1.0,11.0
18.527231510356362,Strat_prop,1.0,11.0
9.839257950415213,Strat_prop,1.0,11.0
15.258470633111672,Strat_prop,1.0,11.0
