value,type,n,R
4.371222187175612,CMC,1.0,10.0
7.327071936963714,CMC,1.0,10.0
18.429288508255944,CMC,1.0,10.0
0.2752314760548517,CMC,1.0,10.0
12.535722432215028,CMC,1.0,10.0
19.48335799263351,CMC,1.0,10.0
15.086833001818496,CMC,1.0,10.0
14.706191052722549,CMC,1.0,10.0
8.49485946885438,CMC,1.0,10.0
7.786868116926229,CMC,1.0,10.0
8.141326427360973,Strat_prop,1.0,10.0
9.446421663586356,Strat_prop,1.0,10.0
2.591633786619388,Strat_prop,1.0,10.0
18.87192257649069,Strat_prop,1.0,10.0
10.154257871477864,Strat_prop,1.0,10.0
21.909502923152587,Strat_prop,1.0,10.0
16.436023535407223,Strat_prop,1.0,10.0
13.792274858999832,Strat_prop,1.0,10.0
5.005791509958157,Strat_prop,1.0,10.0
8.158597060634746,Strat_prop,1.0,10.0
8.583509673463016,Strat_opt,1.0,10.0
6.618958188172257,Strat_opt,1.0,10.0
11.965273809400728,Strat_opt,1.0,10.0
15.519279066416228,Strat_opt,1.0,10.0
11.018672385942741,Strat_opt,1.0,10.0
10.889638201166829,Strat_opt,1.0,10.0
15.733059216772833,Strat_opt,1.0,10.0
5.200892065449411,Strat_opt,1.0,10.0
14.418217644185969,Strat_opt,1.0,10.0
20.750575425196065,Strat_opt,1.0,10.0
4.0697351341461,CMC,6.0,10.0
9.64398095889312,CMC,6.0,10.0
8.501316962173384,CMC,6.0,10.0
11.597400683372822,CMC,6.0,10.0
3.64926391828806,CMC,6.0,10.0
1.2704265335638518,CMC,6.0,10.0
5.691931986270849,CMC,6.0,10.0
6.060440088863774,CMC,6.0,10.0
3.7819383176157393,CMC,6.0,10.0
7.184272718920711,CMC,6.0,10.0
5.8150167096492895,Strat_prop,6.0,10.0
3.894508734933611,Strat_prop,6.0,10.0
11.266278617394093,Strat_prop,6.0,10.0
5.601299467099993,Strat_prop,6.0,10.0
3.2137535010237626,Strat_prop,6.0,10.0
11.299398076134514,Strat_prop,6.0,10.0
2.8598514995837374,Strat_prop,6.0,10.0
11.40936418987144,Strat_prop,6.0,10.0
8.526539337847861,Strat_prop,6.0,10.0
4.0466515133769025,Strat_prop,6.0,10.0
6.0191968971674035,Strat_opt,6.0,10.0
8.937430540281273,Strat_opt,6.0,10.0
12.53178112582566,Strat_opt,6.0,10.0
5.852446466457154,Strat_opt,6.0,10.0
9.77590198775578,Strat_opt,6.0,10.0
8.874921568165897,Strat_opt,6.0,10.0
7.048684200056612,Strat_opt,6.0,10.0
9.835693254749042,Strat_opt,6.0,10.0
10.305066276211502,Strat_opt,6.0,10.0
6.587925652180101,Strat_opt,6.0,10.0
9.922476632171813,CMC,11.0,10.0
8.347524761237043,CMC,11.0,10.0
7.378899634422706,CMC,11.0,10.0
5.9094570603033185,CMC,11.0,10.0
5.242853656118801,CMC,11.0,10.0
4.739716017305199,CMC,11.0,10.0
11.647154892778815,CMC,11.0,10.0
8.759995730200732,CMC,11.0,10.0
10.367666670800451,CMC,11.0,10.0
6.334195634392264,CMC,11.0,10.0
3.3864195230798257,Strat_prop,11.0,10.0
9.450197979718464,Strat_prop,11.0,10.0
4.25353042944513,Strat_prop,11.0,10.0
6.27985277692342,Strat_prop,11.0,10.0
6.195476600679338,Strat_prop,11.0,10.0
10.607630004142504,Strat_prop,11.0,10.0
8.506940628806316,Strat_prop,11.0,10.0
6.846542422288022,Strat_prop,11.0,10.0
12.369264834288625,Strat_prop,11.0,10.0
4.132886580758158,Strat_prop,11.0,10.0
3.774498654712299,Strat_opt,11.0,10.0
5.7257949953163685,Strat_opt,11.0,10.0
10.156474972233674,Strat_opt,11.0,10.0
11.363464326984147,Strat_opt,11.0,10.0
3.311664272579721,Strat_opt,11.0,10.0
11.580435710758781,Strat_opt,11.0,10.0
3.9044441924510664,Strat_opt,11.0,10.0
2.934473633425555,Strat_opt,11.0,10.0
5.525202922624722,Strat_opt,11.0,10.0
9.478813552218057,Strat_opt,11.0,10.0
4.085258172243604,CMC,16.0,10.0
4.642556401212083,CMC,16.0,10.0
3.9895467935071496,CMC,16.0,10.0
7.527107703278941,CMC,16.0,10.0
13.60585924534919,CMC,16.0,10.0
6.879063849300154,CMC,16.0,10.0
5.717116924173593,CMC,16.0,10.0
9.590841287984897,CMC,16.0,10.0
7.203666698559383,CMC,16.0,10.0
12.277160043023926,CMC,16.0,10.0
10.505099414200533,Strat_prop,16.0,10.0
0.8455911823874678,Strat_prop,16.0,10.0
6.385738264959386,Strat_prop,16.0,10.0
4.711029552547451,Strat_prop,16.0,10.0
5.670244084207383,Strat_prop,16.0,10.0
7.195136718842287,Strat_prop,16.0,10.0
10.126930535259405,Strat_prop,16.0,10.0
1.278257442223972,Strat_prop,16.0,10.0
7.038453634950695,Strat_prop,16.0,10.0
8.920932041106497,Strat_prop,16.0,10.0
5.7218953932000005,Strat_opt,16.0,10.0
8.06440222324607,Strat_opt,16.0,10.0
6.498771006723674,Strat_opt,16.0,10.0
9.738923488516532,Strat_opt,16.0,10.0
6.0095165915315505,Strat_opt,16.0,10.0
3.2464984249280806,Strat_opt,16.0,10.0
6.372434412412156,Strat_opt,16.0,10.0
10.636879325238905,Strat_opt,16.0,10.0
9.005066145429229,Strat_opt,16.0,10.0
11.253956569035335,Strat_opt,16.0,10.0
9.338218610935732,CMC,21.0,10.0
3.7269488130755333,CMC,21.0,10.0
5.455387296973661,CMC,21.0,10.0
5.594882897094133,CMC,21.0,10.0
6.9895506127917075,CMC,21.0,10.0
8.827706024079994,CMC,21.0,10.0
3.9723221340579515,CMC,21.0,10.0
2.983439133724531,CMC,21.0,10.0
4.127221236176199,CMC,21.0,10.0
9.277409810263457,CMC,21.0,10.0
5.032118080856061,Strat_prop,21.0,10.0
3.219488009025419,Strat_prop,21.0,10.0
3.4131831296059687,Strat_prop,21.0,10.0
4.444328089896979,Strat_prop,21.0,10.0
4.3281976549039385,Strat_prop,21.0,10.0
13.182609727417924,Strat_prop,21.0,10.0
6.391083532712975,Strat_prop,21.0,10.0
5.49920296766939,Strat_prop,21.0,10.0
4.139979635652569,Strat_prop,21.0,10.0
3.377334553462393,Strat_prop,21.0,10.0
5.085462955271845,Strat_opt,21.0,10.0
2.0516943388780104,Strat_opt,21.0,10.0
4.07515193765299,Strat_opt,21.0,10.0
4.791504813819205,Strat_opt,21.0,10.0
1.6698839288482064,Strat_opt,21.0,10.0
8.948431462039094,Strat_opt,21.0,10.0
5.670453653248062,Strat_opt,21.0,10.0
7.117390921025037,Strat_opt,21.0,10.0
4.140617987149771,Strat_opt,21.0,10.0
4.447157368738699,Strat_opt,21.0,10.0
2.7727453769548838,CMC,26.0,10.0
10.124372310534232,CMC,26.0,10.0
5.759379890683448,CMC,26.0,10.0
4.558847663318396,CMC,26.0,10.0
10.939646601305373,CMC,26.0,10.0
6.2375820553139665,CMC,26.0,10.0
10.410188031323159,CMC,26.0,10.0
5.806897269743797,CMC,26.0,10.0
7.346166019400587,CMC,26.0,10.0
5.067102977873825,CMC,26.0,10.0
